"";"Lupin";"Species";"sum.reclassified.x";"Occurrences.site";"sum.reclassified.y";"abundance"
"194";"Yes";"Trifolium pratense";"3";4;"3";20
"195";"Yes";"Trifolium repens";"2";3;"2";6
"196";"Yes";"Tripleurospermum inodorum";"3";2;"3";16
"197";"Yes";"Tussilago farfara";"3";3;"3";8
"198";"Yes";"Urtica dioica";"3";1;"3";4
"199";"Yes";"Vaccinium uliginosum";"2";1;"2";1
"200";"Yes";"Vaccinium vitis-idaea";"1";1;"1";16
"201";"Yes";"Veronica arvensis";"1";1;"1";5
"202";"Yes";"Veronica beccabunga";"2";1;"2";3
"203";"Yes";"Veronica chamaedrys";"1";2;"1";9
"204";"Yes";"Vicia cracca";"2";5;"2";18
"205";"Yes";"Vicia sepium";"2";1;"2";1
"206";"Yes";"Vicia tetrasperma";"2";1;"2";1
"207";"Yes";"Viola canina";"1";2;"1";12
"208";"Yes";"Viola riviniana";"1";3;"1";9
