"";"Region";"Site";"parnr";"Lupin";"rich";"N";"E"
"103";"Uppland";"Ransta";1;"Yes";12;"6649490.25";"590583.092"
"104";"Uppland";"Ransta";1;"No";16;"6649490.25";"590583.092"
"105";"Uppland";"Ransta";2;"Yes";14;"6649490.25";"590583.092"
"106";"Uppland";"Ransta";2;"No";17;"6649490.25";"590583.092"
"107";"Uppland";"Runhällen";1;"Yes";16;"6654992.596";"602174.864"
"108";"Uppland";"Runhällen";1;"No";17;"6654992.596";"602174.864"
"109";"Uppland";"Runhällen";2;"Yes";15;"6654992.596";"602174.864"
"110";"Uppland";"Runhällen";2;"No";22;"6654992.596";"602174.864"
"111";"Värmland";"Rämmen-Haget";1;"Yes";18;"6641011.184";"450041.648"
"112";"Värmland";"Rämmen-Haget";1;"No";21;"6641003.163";"450058.324"
"113";"Värmland";"Rämmen-Haget";2;"Yes";9;"6640936.037";"450163.16"
"114";"Värmland";"Rämmen-Haget";2;"No";31;"6640947.399";"450146.529"
"115";"Värmland";"Rämmen-Haget";3;"Yes";15;"6640594.762";"450612.906"
"116";"Värmland";"Rämmen-Haget";3;"No";19;"6640585.421";"450645.234"
"117";"Uppland";"Röcklingeås";1;"Yes";14;"6643555.905";"602724.853"
"118";"Uppland";"Röcklingeås";1;"No";18;"6643555.905";"602724.853"
"119";"Uppland";"Röcklingeås";2;"Yes";15;"6643555.905";"602724.853"
"120";"Uppland";"Röcklingeås";2;"No";21;"6643555.905";"602724.853"
"121";"Uppland";"Rödmossa";1;"Yes";16;"6661520.071";"602055.72"
"122";"Uppland";"Rödmossa";1;"No";19;"6661520.071";"602055.72"
"123";"Uppland";"Rödmossa";2;"Yes";11;"6661520.071";"602055.72"
"124";"Uppland";"Rödmossa";2;"No";18;"6661520.071";"602055.72"
"125";"Uppland";"Slutbo";1;"Yes";23;"6636279.284";"617238.633"
"126";"Uppland";"Slutbo";1;"No";27;"6636279.284";"617238.633"
"127";"Uppland";"Slutbo";2;"Yes";16;"6636279.284";"617238.633"
"128";"Uppland";"Slutbo";2;"No";20;"6636279.284";"617238.633"
"129";"Värmland";"Snavlunda äng";1;"Yes";7;"6650908.957";"494242.954"
"130";"Värmland";"Snavlunda äng";1;"No";21;"6648328.782";"494108.301"
"131";"Uppland";"Solbo";1;"Yes";12;"6637867.687";"599567.525"
"132";"Uppland";"Solbo";1;"No";20;"6637867.687";"599567.525"
"133";"Uppland";"Solbo";2;"Yes";14;"6637867.687";"599567.525"
"134";"Uppland";"Solbo";2;"No";21;"6637867.687";"599567.525"
"135";"Värmland";"Stavkärr/Svinnersta";1;"Yes";16;"6537475.952";"489646.444"
"136";"Värmland";"Stavkärr/Svinnersta";1;"No";19;"6537424.86";"489598.588"
"137";"Värmland";"Stavkärr/Svinnersta";2;"Yes";12;"6537391.337";"487748.957"
"138";"Värmland";"Stavkärr/Svinnersta";2;"No";12;"6537356.738";"487774.144"
"139";"Värmland";"Stavkärr/Svinnersta";3;"Yes";13;"6537598.995";"487239.111"
"140";"Värmland";"Stavkärr/Svinnersta";3;"No";18;"6537580.041";"487246.521"
"141";"Uppland";"Söderfors";1;"Yes";19;"6693748.141";"623239.063"
"142";"Uppland";"Söderfors";1;"No";18;"6693748.141";"623239.063"
"143";"Uppland";"Söderfors";2;"Yes";28;"6693748.141";"623239.063"
"144";"Uppland";"Söderfors";2;"No";28;"6693748.141";"623239.063"
"145";"Uppland";"Sörbäck";1;"Yes";11;"6639099.046";"594587.044"
"146";"Uppland";"Sörbäck";1;"No";19;"6639099.046";"594587.044"
"147";"Uppland";"Sörbäck";2;"Yes";9;"6639099.046";"594587.044"
"148";"Uppland";"Sörbäck";2;"No";19;"6639099.046";"594587.044"
"149";"Värmland";"Torsked";1;"Yes";10;"6617027.742";"422563.463"
"150";"Värmland";"Torsked";1;"No";13;"6616988.264";"422533.356"
"151";"Uppland";"Västerby";1;"Yes";18;"6643930.254";"583122.716"
"152";"Uppland";"Västerby";1;"No";17;"6643930.254";"583122.716"
"153";"Uppland";"Västerby";2;"Yes";13;"6643930.254";"583122.716"
"154";"Uppland";"Västerby";2;"No";23;"6643930.254";"583122.716"
"155";"Uppland";"Östanbäck";1;"Yes";18;"6644102.974";"582544.094"
"156";"Uppland";"Östanbäck";1;"No";20;"6644102.974";"582544.094"
"157";"Uppland";"Östanbäck";2;"Yes";21;"6644102.974";"582544.094"
"158";"Uppland";"Östanbäck";2;"No";23;"6644102.974";"582544.094"
"159";"Uppland";"Östanbäcks kloster";1;"Yes";20;"6644216.677";"582091.101"
"160";"Uppland";"Östanbäcks kloster";1;"No";16;"6644216.677";"582091.101"
"161";"Uppland";"Östanbäcks kloster";2;"Yes";18;"6644216.677";"582091.101"
"162";"Uppland";"Östanbäcks kloster";2;"No";22;"6644216.677";"582091.101"
"163";"Uppland";"Österunda1";1;"Yes";20;"6633789.678";"617800.444"
"164";"Uppland";"Österunda1";1;"No";24;"6633789.678";"617800.444"
"165";"Uppland";"Österunda1";2;"Yes";21;"6633789.678";"617800.444"
"166";"Uppland";"Österunda1";2;"No";15;"6633789.678";"617800.444"
"167";"Uppland";"Österunda2";1;"Yes";25;"6633357.23";"617829.747"
"168";"Uppland";"Österunda2";1;"No";25;"6633357.23";"617829.747"
"169";"Uppland";"Österunda2";2;"Yes";14;"6633357.23";"617829.747"
"170";"Uppland";"Österunda2";2;"No";15;"6633357.23";"617829.747"
