Site;parnr;Lupin;coord x;coord y;namn;Litter.avg;Veghet.avg
Östanbäck;2;Yes;59.9263678503877;16.476380279228;6d7746b3-0df8-4dec-bf61-60ecd05065af;0;63,75
Östanbäcks kloster;1;No;59.9271187979321;16.4689607070209;5b5d576e-a3d8-49c7-98cb-c2b3703cc6d7;0,2;33,75
Östanbäcks kloster;2;No;59.9274090585611;16.4681370552116;70f07d57-9ea3-423d-90b4-15f42472b14e;0,2;13,75
Östanbäcks kloster;1;Yes;59.9271447299824;16.4688571995406;be59fb63-78f1-49fb-be16-d384417e39c9;0,4;55
Östanbäcks kloster;2;Yes;59.9274401134567;16.4680384004305;9b3047bc-0552-4b74-8bfa-4f69278b2399;0;58,75
Österunda 1;1;No;59.8247727799956;17.1010750995551;4b3b6612-2a2c-45b2-bd42-e1801a8c4b0a;0;6,875
Österunda 1;2;No;59.8246058124015;17.1010664667452;5aa29f17-4ccf-443e-a5cf-57ff56dce947;1,6;18,75
Österunda 1;1;Yes;59.8247223073999;17.1010240860267;739d5b72-4b3c-4fbb-b50e-42fcb75caab2;0,2;56,25
Österunda 1;2;Yes;59.8239915217491;17.101037743114;0db01d69-ec4b-42e9-85d9-334f620ba7e6;0,2;56,25
Österunda 2;1;No;59.821187821358;17.1013876135609;65cac9b5-1709-4cd9-9ad9-afcf9b61ce73;1;11,25
Österunda 2;2;No;59.8210837786455;17.1014086997156;0e5ffc28-15c6-4f30-b30f-94652f01ea97;1;23,75
Österunda 2;1;Yes;59.8211480210341;17.1013762902968;e7390378-2012-443d-8a61-92b9dfe3acab;0,2;46,25
Österunda 2;2;Yes;59.8211092177611;17.1014093698588;b11c3651-1769-4cf0-adc6-36ac603c170d;1,2;48,75
