Site;parnr;Lupin.NoLupin;Species;Occ
Brobacke;1;NoLupin;Pinus sylvestris;1
Brobacke;1;NoLupin;Plantago major;3
Brobacke;1;NoLupin;Primula veris;7
Brobacke;1;NoLupin;Ranunculus acris subsp. acris;1
Brobacke;1;NoLupin;Ranunculus repens;1
Brobacke;1;NoLupin;Rumex acetosa;6
Brobacke;1;NoLupin;Rumex acetosella;5
Brobacke;1;NoLupin;Sagina revelierei;2
Brobacke;1;NoLupin;Salix caprea;2
Brobacke;1;NoLupin;Scorzoneroides autumnalis;6
Brobacke;1;NoLupin;Taraxacum;2
Brobacke;1;NoLupin;Trifolium hybridum;9
Brobacke;1;NoLupin;Tripleurospermum inodorum;4
Brobacke;1;NoLupin;Tussilago farfara;1
Brobacke;1;NoLupin;Vicia cracca;4
Brobacke;2;Lupin;Achillea millefolium;11
Brobacke;2;Lupin;Equisetum arvense;2
Brobacke;2;Lupin;Filipendula ulmaria;5
Brobacke;2;Lupin;Gallium mollugo;3
Brobacke;2;Lupin;Geranium sylvaticum;4
Brobacke;2;Lupin;Hypericum maculatum;2
Brobacke;2;Lupin;Lathyrus pratensis;3
Brobacke;2;Lupin;Lupinus polyphyllus;16
Brobacke;2;Lupin;Taraxacum;7
Brobacke;2;NoLupin;Achillea millefolium;13
Brobacke;2;NoLupin;Achillea ptarmica;5
Brobacke;2;NoLupin;Alchemilla vulgaris;3
Brobacke;2;NoLupin;Cirsium heterophyllum;1
Brobacke;2;NoLupin;Equisetum arvense;15
Brobacke;2;NoLupin;Filipendula ulmaria;6
Brobacke;2;NoLupin;Gallium mollugo;14
Brobacke;2;NoLupin;Geranium sylvaticum;2
Brobacke;2;NoLupin;Hypericum maculatum;1
Brobacke;2;NoLupin;Lathyrus pratensis;7
Brobacke;2;NoLupin;Pilosella cymosa;3
Brobacke;2;NoLupin;Ranunculus acris subsp. acris;1
Brobacke;2;NoLupin;Rumex acetosa;1
Brobacke;2;NoLupin;Taraxacum;1
Brobacke;2;NoLupin;Tragopogon pratensis;1
Brobacke;2;NoLupin;Trifolium medium;3
Brobacke;2;NoLupin;Veronica chamaedrys;9
Brunkullsvägen;1;Lupin;Achillea millefolium;16
Brunkullsvägen;1;Lupin;Aethusa cynapium;4
Brunkullsvägen;1;Lupin;Anthriscus sylvestris;2
Brunkullsvägen;1;Lupin;Betula pendula;1
Brunkullsvägen;1;Lupin;Campanula persicifolia;1
Brunkullsvägen;1;Lupin;Equisetum arvense;4
Brunkullsvägen;1;Lupin;Gallium mollugo;7
Brunkullsvägen;1;Lupin;Hieracium umbellatum;3
Brunkullsvägen;1;Lupin;Lotus corniculatus;1
Brunkullsvägen;1;Lupin;Lupinus polyphyllus;16
Brunkullsvägen;1;Lupin;Noccaea caerulescens;2
Brunkullsvägen;1;Lupin;Ranunculus acris subsp. acris;1
Brunkullsvägen;1;Lupin;Rumex acetosa;4
Brunkullsvägen;1;Lupin;Rumex acetosella;1
Brunkullsvägen;1;Lupin;Salix cinerea;2
Brunkullsvägen;1;Lupin;Taraxacum;2
Brunkullsvägen;1;Lupin;Tragopogon pratensis;1
Brunkullsvägen;1;Lupin;Trifolium medium;1
Brunkullsvägen;1;Lupin;Vaccinium uliginosum;1
Brunkullsvägen;1;NoLupin;Achillea millefolium;16
Brunkullsvägen;1;NoLupin;Aethusa cynapium;2
Brunkullsvägen;1;NoLupin;Anthriscus sylvestris;1
Brunkullsvägen;1;NoLupin;Equisetum arvense;16
Brunkullsvägen;1;NoLupin;Fragaria vesca;2
Brunkullsvägen;1;NoLupin;Gallium mollugo;16
Brunkullsvägen;1;NoLupin;Hieracium umbellatum;11
Brunkullsvägen;1;NoLupin;Leucanthemum vulgare;2
Brunkullsvägen;1;NoLupin;Lotus corniculatus;16
Brunkullsvägen;1;NoLupin;Lupinus polyphyllus;1
Brunkullsvägen;1;NoLupin;Myosotis arvensis;2
Brunkullsvägen;1;NoLupin;Pilosella officinarum;1
Brunkullsvägen;1;NoLupin;Rumex acetosella;2
Brunkullsvägen;1;NoLupin;Trifolium hybridum;2
Brunkullsvägen;1;NoLupin;Veronica officinalis;7
Brunkullsvägen;1;NoLupin;Vicia cracca;8
Brunkullsvägen;2;Lupin;Achillea millefolium;16
Brunkullsvägen;2;Lupin;Aethusa cynapium;1
Brunkullsvägen;2;Lupin;Equisetum arvense;3
Brunkullsvägen;2;Lupin;Gallium mollugo;10
Brunkullsvägen;2;Lupin;Lotus corniculatus;5
Brunkullsvägen;2;Lupin;Lupinus polyphyllus;16
Brunkullsvägen;2;Lupin;Rumex acetosa;1
Brunkullsvägen;2;Lupin;Salix cinerea;2
Brunkullsvägen;2;Lupin;Trifolium repens;2
