Datum;County;Site;N;E;Parnr;Lupin.NoLupin;Lupin;Swedish.name;Species;Occurrence;Veg.höjd 1 i cm;Veg.höjd 2;Veg.höjd 3;Veg.höjd 4;Veghgt.avg;Förna 1 i cm;Förna 2;Förna 3;Förna 4;Förna 5;Förna 6;Förna 7;Förna 8;Förna 9;Förna 10;Förna 11;Förna 12;Förna 13;Förna 14;Förna 15;Förna 16;Litt.avg
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;No;Flockfibbla;Hieracium umbellatum;1;;;;;9,375;;;;;;;;;;;;;;;;;1
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;No;Gråfibbla;Pilosella officinarum;2;;;;;9,375;;;;;;;;;;;;;;;;;1
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;No;Gulmåra;Galium verum;1;;;;;9,375;;;;;;;;;;;;;;;;;1
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;No;Hundkex;Anthriscus sylvestris;1;;;;;9,375;;;;;;;;;;;;;;;;;1
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;No;Höstfibbla;Scorzoneroides autumnalis;5;;;;;9,375;;;;;;;;;;;;;;;;;1
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;No;Kvastfibbla;Pilosella cymosa;7;;;;;9,375;;;;;;;;;;;;;;;;;1
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;No;Käringtand;Lotus corniculatus;1;;;;;9,375;;;;;;;;;;;;;;;;;1
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;No;Lupin;Lupinus polyphyllus;4;;;;;9,375;;;;;;;;;;;;;;;;;1
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;No;Maskros;Taraxacum;7;;;;;9,375;;;;;;;;;;;;;;;;;1
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;No;Prästkrage;Leucanthemum vulgare;6;;;;;9,375;;;;;;;;;;;;;;;;;1
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;No;Röllika;Achillea millefolium;6;;;;;9,375;;;;;;;;;;;;;;;;;1
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;No;Skogsklöver;Trifolium medium;2;;;;;9,375;;;;;;;;;;;;;;;;;1
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;No;Smultron;Fragaria vesca;12;;;;;9,375;;;;;;;;;;;;;;;;;1
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;No;Stormåra;Gallium mollugo;12;;;;;9,375;;;;;;;;;;;;;;;;;1
02-06-2020;Uppsala;Dragkärret;6637862.681;599380.894;1;NoLupin;No;Tall;Pinus sylvestris;1;;;;;9,375;;;;;;;;;;;;;;;;;1
