Site;parnr;Lupin;N;E;lat;lng;latdms;lngdms
Runhällen;1;No;6654992.596;602174.864;60.01944444478391;16.83305555659662;N 60° 12 10.003 ;E 16° 492 59.003 
Runhällen;2;Yes;6654992.596;602174.864;60.01944444478391;16.83305555659662;N 60° 12 10.003 ;E 16° 492 59.003 
Runhällen;2;No;6654992.596;602174.864;60.01944444478391;16.83305555659662;N 60° 12 10.003 ;E 16° 492 59.003 
Rämmen-Haget;1;Yes;6641011.184;450041.648;59.90358999562943;14.106910001199076;N 59° 542 12.923 ;E 14° 62 24.883 
Rämmen-Haget;1;No;6641003.163;450058.324;59.90351999962049;14.107210003650554;N 59° 542 12.673 ;E 14° 62 25.963 
Rämmen-Haget;2;Yes;6640936.037;450163.16;59.90292999869725;14.109099998201147;N 59° 542 10.553 ;E 14° 62 32.763 
Rämmen-Haget;2;No;6640947.399;450146.529;59.90303000100129;14.108800005655596;N 59° 542 10.913 ;E 14° 62 31.683 
Rämmen-Haget;3;Yes;6640594.762;450612.906;59.89991999973843;14.117220007944983;N 59° 532 59.713 ;E 14° 72 1.993 
Rämmen-Haget;3;No;6640585.421;450645.234;59.89984000113091;14.117800005727807;N 59° 532 59.423 ;E 14° 72 4.083 
Röcklingeås;1;Yes;6643555.905;602724.853;59.91666667018526;16.83722222288488;N 59° 552 0.003 ;E 16° 502 14.003 
Röcklingeås;1;No;6643555.905;602724.853;59.91666667018526;16.83722222288488;N 59° 552 0.003 ;E 16° 502 14.003 
Röcklingeås;2;Yes;6643555.905;602724.853;59.91666667018526;16.83722222288488;N 59° 552 0.003 ;E 16° 502 14.003 
Röcklingeås;2;No;6643555.905;602724.853;59.91666667018526;16.83722222288488;N 59° 552 0.003 ;E 16° 502 14.003 
Rödmossa;1;Yes;6661520.071;602055.72;60.078055555433224;16.834166669450713;N 60° 42 41.003 ;E 16° 502 3.003 
Rödmossa;1;No;6661520.071;602055.72;60.078055555433224;16.834166669450713;N 60° 42 41.003 ;E 16° 502 3.003 
Rödmossa;2;Yes;6661520.071;602055.72;60.078055555433224;16.834166669450713;N 60° 42 41.003 ;E 16° 502 3.003 
Rödmossa;2;No;6661520.071;602055.72;60.078055555433224;16.834166669450713;N 60° 42 41.003 ;E 16° 502 3.003 
Slutbo;1;Yes;6636279.284;617238.633;59.84749999927501;17.092500007274147;N 59° 502 51.003 ;E 17° 52 33.003 
Slutbo;1;No;6636279.284;617238.633;59.84749999927501;17.092500007274147;N 59° 502 51.003 ;E 17° 52 33.003 
Slutbo;2;Yes;6636279.284;617238.633;59.84749999927501;17.092500007274147;N 59° 502 51.003 ;E 17° 52 33.003 
Slutbo;2;No;6636279.284;617238.633;59.84749999927501;17.092500007274147;N 59° 502 51.003 ;E 17° 52 33.003 
Snavlunda äng;1;Yes;6650908.957;494242.954;59.99544999829716;14.896799992586018;N 59° 592 43.623 ;E 14° 532 48.483 
Snavlunda äng;1;No;6648328.782;494108.301;59.972280004348434;14.894459996922206;N 59° 582 20.213 ;E 14° 532 40.063 
Solbo;1;Yes;6637867.687;599567.525;59.86638888839007;16.778055560232772;N 59° 512 59.003 ;E 16° 462 41.003 
Solbo;1;No;6637867.687;599567.525;59.86638888839007;16.778055560232772;N 59° 512 59.003 ;E 16° 462 41.003 
Solbo;2;Yes;6637867.687;599567.525;59.86638888839007;16.778055560232772;N 59° 512 59.003 ;E 16° 462 41.003 
Solbo;2;No;6637867.687;599567.525;59.86638888839007;16.778055560232772;N 59° 512 59.003 ;E 16° 462 41.003 
Stavkärr/Svinnersta;1;Yes;6537475.952;489646.444;58.976740001342634;14.819909993186043;N 58° 582 36.263 ;E 14° 492 11.683 
Stavkärr/Svinnersta;1;No;6537424.86;489598.588;58.976280002496985;14.81907999431275;N 58° 582 34.613 ;E 14° 492 8.693 
Stavkärr/Svinnersta;2;Yes;6537391.337;487748.957;58.97593000036923;14.786909992131724;N 58° 582 33.353 ;E 14° 472 12.883 
Stavkärr/Svinnersta;2;No;6537356.738;487774.144;58.97562000014922;14.787349995825071;N 58° 582 32.233 ;E 14° 472 14.463 
Stavkärr/Svinnersta;3;Yes;6537598.995;487239.111;58.97777999938538;14.778030007717415;N 58° 582 40.013 ;E 14° 462 40.913 
Stavkärr/Svinnersta;3;No;6537580.041;487246.521;58.977610001783155;14.778159994196933;N 58° 582 39.403 ;E 14° 462 41.383 
Söderfors;1;Yes;6693748.141;623239.063;60.36138888753371;17.23416665879959;N 60° 212 41.003 ;E 17° 142 3.003 
Söderfors;1;No;6693748.141;623239.063;60.36138888753371;17.23416665879959;N 60° 212 41.003 ;E 17° 142 3.003 
Söderfors;2;Yes;6693748.141;623239.063;60.36138888753371;17.23416665879959;N 60° 212 41.003 ;E 17° 142 3.003 
Söderfors;2;No;6693748.141;623239.063;60.36138888753371;17.23416665879959;N 60° 212 41.003 ;E 17° 142 3.003 
Sörbäck;1;Yes;6639099.046;594587.044;59.87861110881061;16.689722214842448;N 59° 522 43.003 ;E 16° 412 23.003 
Sörbäck;1;No;6639099.046;594587.044;59.87861110881061;16.689722214842448;N 59° 522 43.003 ;E 16° 412 23.003 
Sörbäck;2;Yes;6639099.046;594587.044;59.87861110881061;16.689722214842448;N 59° 522 43.003 ;E 16° 412 23.003 
Sörbäck;2;No;6639099.046;594587.044;59.87861110881061;16.689722214842448;N 59° 522 43.003 ;E 16° 412 23.003 
Torsked;1;Yes;6617027.742;422563.463;59.68405000154655;13.624719998422613;N 59° 412 2.583 ;E 13° 372 28.993 
Torsked;1;No;6616988.264;422533.356;59.68369000084977;13.624200006151382;N 59° 412 1.283 ;E 13° 372 27.123 
Västerby;1;Yes;6643930.254;583122.716;59.924444448468925;16.48694445175844;N 59° 552 28.003 ;E 16° 292 13.003 
Västerby;1;No;6643930.254;583122.716;59.924444448468925;16.48694445175844;N 59° 552 28.003 ;E 16° 292 13.003 
Västerby;2;Yes;6643930.254;583122.716;59.924444448468925;16.48694445175844;N 59° 552 28.003 ;E 16° 292 13.003 
Västerby;2;No;6643930.254;583122.716;59.924444448468925;16.48694445175844;N 59° 552 28.003 ;E 16° 292 13.003 
Östanbäck;1;Yes;6644102.974;582544.094;59.92611111449075;16.476666666902425;N 59° 552 34.003 ;E 16° 282 36.003 
Östanbäck;1;No;6644102.974;582544.094;59.92611111449075;16.476666666902425;N 59° 552 34.003 ;E 16° 282 36.003 
Östanbäck;2;Yes;6644102.974;582544.094;59.92611111449075;16.476666666902425;N 59° 552 34.003 ;E 16° 282 36.003 
Östanbäck;2;No;6644102.974;582544.094;59.92611111449075;16.476666666902425;N 59° 552 34.003 ;E 16° 282 36.003 
Östanbäcks kloster;1;Yes;6644216.677;582091.101;59.92722222086616;16.468611105710703;N 59° 552 38.003 ;E 16° 282 7.003 
Östanbäcks kloster;1;No;6644216.677;582091.101;59.92722222086616;16.468611105710703;N 59° 552 38.003 ;E 16° 282 7.003 
Östanbäcks kloster;2;Yes;6644216.677;582091.101;59.92722222086616;16.468611105710703;N 59° 552 38.003 ;E 16° 282 7.003 
Östanbäcks kloster;2;No;6644216.677;582091.101;59.92722222086616;16.468611105710703;N 59° 552 38.003 ;E 16° 282 7.003 
Österunda1;1;Yes;6633789.678;617800.444;59.8250000042415;17.101111113726947;N 59° 492 30.003 ;E 17° 62 4.003 
Österunda1;1;No;6633789.678;617800.444;59.8250000042415;17.101111113726947;N 59° 492 30.003 ;E 17° 62 4.003 
Österunda1;2;Yes;6633789.678;617800.444;59.8250000042415;17.101111113726947;N 59° 492 30.003 ;E 17° 62 4.003 
Österunda1;2;No;6633789.678;617800.444;59.8250000042415;17.101111113726947;N 59° 492 30.003 ;E 17° 62 4.003 
Österunda2;1;Yes;6633357.23;617829.747;59.82111110719141;17.10138888677811;N 59° 492 16.003 ;E 17° 62 5.003 
Österunda2;1;No;6633357.23;617829.747;59.82111110719141;17.10138888677811;N 59° 492 16.003 ;E 17° 62 5.003 
Österunda2;2;Yes;6633357.23;617829.747;59.82111110719141;17.10138888677811;N 59° 492 16.003 ;E 17° 62 5.003 
Österunda2;2;No;6633357.23;617829.747;59.82111110719141;17.10138888677811;N 59° 492 16.003 ;E 17° 62 5.003 
