County;Site;parnr;Lupin;Species;Veghgt.avg;Litt.avg;Light;Moisture;pH;Nitrogen;Family;Sp.length;Management.dependent;Occurrences;N;E;lat;lng;latdms;lngdms
Uppsala;Bänntorpet;1;Yes;Hieracium sect. Hieracium agg.;33,125;1,6;3;5;6;5;Asteraceae;37,5;0;7;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;Yes;Hieracium sect. Tridentata;33,125;1,6;6;3;3;4;Asteraceae;70;0;1;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;Yes;Hieracium umbellatum;33,125;1,6;6;3;4;4;Asteraceae;52,5;0;1;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;Yes;Lathyrus linifolius;33,125;1,6;4;3;3;3;Fabaceae;25;1;2;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;Yes;Lathyrus pratensis;33,125;1,6;6;5;5;5;Fabaceae;60;1;3;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;Yes;Leucanthemum vulgare;33,125;1,6;6;3;6;4;Asteraceae;45;1;3;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;Yes;Lupinus polyphyllus;33,125;1,6;5;3;2;2;Fabaceae;85;-1;16;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;Yes;Ranunculus acris subsp. acris;33,125;1,6;5;5;4;7;Ranunculaceae;45;1;3;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;Yes;Solidago virgaurea;33,125;1,6;4;4;4;4;Asteraceae;62,5;0;5;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;Yes;Taraxacum;33,125;1,6;NA;NA;NA;NA;Asteraceae;NA;1;1;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;Yes;Vicia cracca;33,125;1,6;5;5;6;3;Fabaceae;60;1;3;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Enköping;1;No;Achillea millefolium;2,5;1,4;6;2;5;5;Asteraceae;45;1;6;6616274,8;617979,682;59,66777778;17,09444444;N 59° 402 4.003 ;E 17° 52 40.003 
Uppsala;Enköping;1;No;Galium boreale;2,5;1,4;5;5;7;4;Rubiaceae;45;1;2;6616274,8;617979,682;59,66777778;17,09444444;N 59° 402 4.003 ;E 17° 52 40.003 
Uppsala;Enköping;1;No;Galium verum;2,5;1,4;6;2;5;4;Rubiaceae;35;1;3;6616274,8;617979,682;59,66777778;17,09444444;N 59° 402 4.003 ;E 17° 52 40.003 
Uppsala;Enköping;1;No;Lupinus polyphyllus;2,5;1,4;5;3;2;2;Fabaceae;85;-1;1;6616274,8;617979,682;59,66777778;17,09444444;N 59° 402 4.003 ;E 17° 52 40.003 
Uppsala;Enköping;1;No;Trifolium medium;2,5;1,4;5;3;5;3;Fabaceae;27,5;1;16;6616274,8;617979,682;59,66777778;17,09444444;N 59° 402 4.003 ;E 17° 52 40.003 
Uppsala;Enköping;1;Yes;Fragaria vesca;18,75;1,6;4;4;5;4;Rosaceae;12,5;0;6;6616274,8;617979,682;59,66777778;17,09444444;N 59° 402 4.003 ;E 17° 52 40.003 
Uppsala;Enköping;1;Yes;Galium boreale;18,75;1,6;5;5;7;4;Rubiaceae;45;1;4;6616274,8;617979,682;59,66777778;17,09444444;N 59° 402 4.003 ;E 17° 52 40.003 
Uppsala;Enköping;1;Yes;Gallium mollugo;18,75;1,6;5;3;5;5;Rubiaceae;65;0;9;6616274,8;617979,682;59,66777778;17,09444444;N 59° 402 4.003 ;E 17° 52 40.003 
Uppsala;Enköping;1;Yes;Geum rivale;18,75;1,6;4;6;6;6;Rosaceae;35;1;2;6616274,8;617979,682;59,66777778;17,09444444;N 59° 402 4.003 ;E 17° 52 40.003 
Uppsala;Enköping;1;Yes;Lupinus polyphyllus;18,75;1,6;5;3;2;2;Fabaceae;85;-1;16;6616274,8;617979,682;59,66777778;17,09444444;N 59° 402 4.003 ;E 17° 52 40.003 
Uppsala;Enköping;1;Yes;Trifolium hybridum;18,75;1,6;6;4;6;4;Fabaceae;35;1;1;6616274,8;617979,682;59,66777778;17,09444444;N 59° 402 4.003 ;E 17° 52 40.003 
Uppsala;Enköping;1;Yes;Trifolium medium;18,75;1,6;5;3;5;3;Fabaceae;27,5;1;12;6616274,8;617979,682;59,66777778;17,09444444;N 59° 402 4.003 ;E 17° 52 40.003 
Uppsala;Enköping;1;Yes;Veronica chamaedrys;18,75;1,6;4;4;5;5;Plantaginaceae;20;1;7;6616274,8;617979,682;59,66777778;17,09444444;N 59° 402 4.003 ;E 17° 52 40.003 
Uppsala;Gullvalla;2;No;Anthriscus sylvestris;1,875;0;5;5;6;7;Apiaceae;100;-1;2;6643020,781;581185,362;59,91666667;16,45194444;N 59° 552 0.003 ;E 16° 272 7.003 
