County;Site;parnr;Lupin;Species;Veghgt.avg;Litt.avg;Light;Moisture;pH;Nitrogen;Family;Sp.length;Management.dependent;Occurrences
Uppsala;Gullvalla;2;Yes;Pilosella officinarum;73,75;0;7;1;3;3;Asteraceae;12,5;2;6
Uppsala;Gullvalla;2;Yes;Pimpinella saxifraga;73,75;0;5;3;6;3;Apiaceae;12,5;2;2
Uppsala;Gullvalla;2;Yes;Taraxacum;73,75;0;NA;NA;NA;NA;Asteraceae;NA;1;1
Uppsala;Gullvalla;2;Yes;Tragopogon pratensis;73,75;0;7;2;7;6;Asteraceae;55;1;2
Uppsala;Gullvalla;2;Yes;Viola canina;73,75;0;5;4;3;2;Violaceae;12,5;0;11
Uppsala;Kölnbacken;2;No;Achillea millefolium;12,5;0,2;6;2;5;5;Asteraceae;45;1;7
Uppsala;Kölnbacken;2;No;Anthriscus sylvestris;12,5;0,2;5;5;6;7;Apiaceae;100;-1;5
Uppsala;Kölnbacken;2;No;Cirsium arvense;12,5;0,2;6;5;5;7;Asteraceae;95;-1;12
Uppsala;Kölnbacken;2;No;Equisetum arvense;12,5;0,2;5;4;6;5;Equisetaceae;30;0;14
Uppsala;Kölnbacken;2;No;Gallium mollugo;12,5;0,2;5;3;5;5;Rubiaceae;65;0;3
Uppsala;Kölnbacken;2;No;Hieracium umbellatum;12,5;0,2;6;3;4;4;Asteraceae;52,5;0;1
Uppsala;Kölnbacken;2;No;Hypericum maculatum;12,5;0,2;5;3;3;5;Hypericaceae;55;1;2
Uppsala;Kölnbacken;2;No;Lathyrus pratensis;12,5;0,2;6;5;5;5;Fabaceae;60;1;2
Uppsala;Kölnbacken;2;No;Lupinus polyphyllus;12,5;0,2;5;3;2;2;Fabaceae;85;-1;1
Uppsala;Kölnbacken;2;No;Pilosella cymosa;12,5;0,2;7;2;6;5;Asteraceae;60;0;1
Uppsala;Kölnbacken;2;No;Pilosella officinarum;12,5;0,2;7;1;3;3;Asteraceae;12,5;2;1
Uppsala;Kölnbacken;2;No;Rumex acetosa;12,5;0,2;6;5;5;6;Polygonaceae;60;1;1
Uppsala;Kölnbacken;2;No;Rumex acetosella;12,5;0,2;6;2;3;2;Polygonaceae;25;2;1
Uppsala;Kölnbacken;2;No;Scorzoneroides autumnalis;12,5;0,2;6;5;6;5;Asteraceae;25;1;2
